,Underyling,quarter,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
2014-12-31,KNSL,2014-12-31,0.3195889399650142,0.46765220155778103,0.12555010833686686,2.510943868244532,0.1981498053427704
2017-12-31,LCNB,2017-12-31,-0.06293316546228218,0.026200719156261282,0.48978986701869226,7.967881221388837,0.2472339583912746
2016-12-31,LCNB,2016-12-31,-0.06293316546228218,0.026200719156261282,0.48978986701869226,7.967881221388837,0.2472339583912746
2015-12-31,LCNB,2015-12-31,-0.06293316546228218,0.026200719156261282,0.48978986701869226,7.967881221388837,0.2472339583912746
2014-12-31,LCNB,2014-12-31,-0.06293316546228218,0.026200719156261282,0.48978986701869226,7.967881221388837,0.2472339583912746
2017-12-31,LECO,2017-12-31,0.28850244480452736,0.08330390910589928,0.49864405776816495,1.4085589137667007,0.07726731446554513
2016-12-31,LECO,2016-12-31,0.28850244480452736,0.08330390910589928,0.49864405776816495,1.4085589137667007,0.07726731446554513
2015-12-31,LECO,2015-12-31,0.28850244480452736,0.08330390910589928,0.49864405776816495,1.4085589137667007,0.07726731446554513
2014-12-31,LECO,2014-12-31,0.28850244480452736,0.08330390910589928,0.49864405776816495,1.4085589137667007,0.07726731446554513
2017-12-30,LFUS,2017-12-30,0.09240668413834434,0.14481079011383402,0.27783683973392886,0.715832223813611,0.0966512116436304
2016-12-31,LFUS,2016-12-31,0.09240668413834434,0.14481079011383402,0.27783683973392886,0.715832223813611,0.0966512116436304
2016-01-02,LFUS,2016-01-02,0.09240668413834434,0.14481079011383402,0.27783683973392886,0.715832223813611,0.0966512116436304
2014-12-27,LFUS,2014-12-27,0.09240668413834434,0.14481079011383402,0.27783683973392886,0.715832223813611,0.0966512116436304
2017-10-31,LMNR,2017-10-31,0.13622916527394405,0.10585955111486263,0.4803730534494439,1.2811082025714533,0.06568265250890258
2016-10-31,LMNR,2016-10-31,0.13622916527394405,0.10585955111486263,0.4803730534494439,1.2811082025714533,0.06568265250890258
2015-10-31,LMNR,2015-10-31,0.13622916527394405,0.10585955111486263,0.4803730534494439,1.2811082025714533,0.06568265250890258
2014-10-31,LMNR,2014-10-31,0.13622916527394405,0.10585955111486263,0.4803730534494439,1.2811082025714533,0.06568265250890258
2017-12-31,LMNX,2017-12-31,0.3990239707494685,0.0,0.35290162519696716,0.10965645987217752,0.10069502383933343
2016-12-31,LMNX,2016-12-31,0.3990239707494685,0.0,0.35290162519696716,0.10965645987217752,0.10069502383933343
2015-12-31,LMNX,2015-12-31,0.3990239707494685,0.0,0.35290162519696716,0.10965645987217752,0.10069502383933343
2014-12-31,LMNX,2014-12-31,0.3990239707494685,0.0,0.35290162519696716,0.10965645987217752,0.10069502383933343
2017-12-31,LOB,2017-12-31,-0.2745059630659278,0.12714762523508352,0.12291841891178991,5.4890402566829986,0.2958477392459044
2016-12-31,LOB,2016-12-31,-0.2745059630659278,0.12714762523508352,0.12291841891178991,5.4890402566829986,0.2958477392459044
2015-12-31,LOB,2015-12-31,-0.2745059630659278,0.12714762523508352,0.12291841891178991,5.4890402566829986,0.2958477392459044
2014-12-31,LOB,2014-12-31,-0.2745059630659278,0.12714762523508352,0.12291841891178991,5.4890402566829986,0.2958477392459044
2017-12-31,LPLA,2017-12-31,-0.1036949341888161,-0.0182732348520865,0.4699101877682885,4.919980450671052,0.047556179072788675
2016-12-31,LPLA,2016-12-31,-0.1036949341888161,-0.0182732348520865,0.4699101877682885,4.919980450671052,0.047556179072788675
2015-12-31,LPLA,2015-12-31,-0.1036949341888161,-0.0182732348520865,0.4699101877682885,4.919980450671052,0.047556179072788675
2014-12-31,LPLA,2014-12-31,-0.1036949341888161,-0.0182732348520865,0.4699101877682885,4.919980450671052,0.047556179072788675
2017-12-30,LSTR,2017-12-30,-0.1714709086066485,-0.10626477711535161,0.09432188766384093,1.0738086997167857,0.04544120672692956
2016-12-31,LSTR,2016-12-31,-0.1714709086066485,-0.10626477711535161,0.09432188766384093,1.0738086997167857,0.04544120672692956
