Symbol	Description
FMV.P.V	Foremost Ventures Corp
FNC.V	Fancamp Exploration Ltd
FNR.V	49 North Resources Inc
FO.V	Falcon Oil & Gas Ltd
FOM.V	Foran Mining Corp
FOR.V	Fortune Bay Corp
FORT.V	Fortress Blockchain Corp
FP.V	Fp Newspapers Inc
FPC.V	Falco Resources Ltd
FPC.WT.V	Falco Resources Ltd Wts
FPX.V	Fpx Nickel Corp
FRE.V	Fremont Gold Ltd
FREE.V	Freedom Energy Inc
FRI.V	Freeport Resources Inc
FRN.V	Feronia Inc
FRO.UN.V	Fronsac Real Estate Investment Trust
FSW.V	Fireswirl  Technologies Inc
FTEC.V	Fintech Select Ltd
FTI.V	Fti Foodtech Internation
FTJ.V	Fort ST James Nickel Corp
FTM.V	Fortem Resources Inc
FUND.V	Katipult Technology Corp
FURA.V	Fura GEMS Inc.
FUU.V	Fission 3.0 Corp
FV.V	Firestone Ventures Inc
FW.V	Flow Capital Corp
FW.DB.A.V	Flow Capital Corp 8.0 Pct Debs
FW.DB.B.V	Flow Capital Corp 7.0 Pct Debs
FWZ.V	Fireweed Zinc Ltd
FYL.V	Finlay Minerals Ltd
GAL.V	Galantas Gold Corp
GAME.V	Millennial Esports Corp
GAR.V	Green Arrow Resources In
GB.V	Ginger Beef Corp
GBLT.V	Gblt Corp
GBR.V	Great Bear Resources Ltd
GBU.V	Gabriel Res J
GCC.H.V	Golden Cariboo Resources Ltd
GCCC.V	Gcc Global Capital Corporation
GCN.V	Goldcliff Resource Corp
GCR.V	Gespeg Copper Resources Inc
GCX.H.V	Granite Creek Gold Ltd
GDBO.V	Gold Rush Cariboo Corp.
GDM.V	Goldstar Minerals Inc
GDNP.V	Good Natured Products Inc.
GDP.V	Golden Pursuit Resources Ltd.
GDX.V	Goldex Resources Corp
GEL.V	Tangelo Games Corp
GEMC.V	Global Energy Metals Corp
GENE.V	Invictus MD Strategies Corp
GER.V	Glen Eagle Resources Inc
GFG.V	Gfg Resources Inc
GFL.H.V	Gulfstream Acquisition 1 Corp
GG.V	Galane Gold Ltd
GGG.V	Graphene 3D Lab Inc
GGI.V	Garibaldi Resources Corp
GGL.V	Ggl Resources Corp
GGM.V	Granada Gold Mine Inc
GGX.V	Ggx Gold Corp
GHR.H.V	Golden Harp Resources Inc
GIGA.V	Giga Metals Corp
GIII.V	Gen III Oil Corp
GIS.V	Genesis Metals Corp
GIT.V	Gitennes Exploration Inc
GLD.V	Goldon Resources Ltd
GLDN.V	Golden Ridge Resources Ltd
GLI.V	Glacier Lake Resources Inc
GLIN.P.V	Global Investments Capital Corp
GLK.V	Great Lakes Graphite Inc
GLO.V	Global Atomic Corp.
GLW.V	Galway Gold Inc
GLXY.V	Galaxy Digital Holdings Ltd
GMA.V	Geomega Resources Inc
GMN.V	Gobimin Inc
GMV.V	Gmv Minerals Inc
GNC.V	Gainey Capital Corp
GNF.V	Greenfields Petroleum Corp
GNG.V	Golden Goliath Resources Ltd
GNH.V	Golden Hope Mines Ltd
GNT.V	Gentor Resources Inc
GOE.V	Goldeneye Resources Corp
